transaction_id,date,description,amount,transaction_type,balance
TXN-001,2024-01-02,DIRECT DEPOSIT - EMPLOYER PAYROLL,3250.00,credit,3250.00
TXN-002,2024-01-03,WALMART SUPERCENTER #4821,-87.43,debit,3162.57
TXN-003,2024-01-05,NETFLIX.COM,-15.99,debit,3146.58
TXN-004,2024-01-06,SHELL OIL 57442,-54.20,debit,3092.38
TXN-005,2024-01-07,CHIPOTLE MEXICAN GRILL,-13.75,debit,3078.63
TXN-006,2024-01-08,ATM WITHDRAWAL - MAIN ST BRANCH,-100.00,debit,2978.63
TXN-007,2024-01-10,FLORIDA POWER & LIGHT,-124.50,debit,2854.13
TXN-008,2024-01-11,KROGER #0342,-63.18,debit,2790.95
TXN-009,2024-01-12,SPOTIFY USA,-9.99,debit,2780.96
TXN-010,2024-01-14,TRANSFER TO SAVINGS,-500.00,debit,2280.96
TXN-011,2024-01-15,AMAZON.COM PURCHASE,-34.99,debit,2245.97
TXN-012,2024-01-16,DIRECT DEPOSIT - EMPLOYER PAYROLL,3250.00,credit,5495.97
TXN-013,2024-01-17,COMCAST CABLE,-89.99,debit,5405.98
TXN-014,2024-01-19,WHOLEFDS MKT #10452,-112.34,debit,5293.64
TXN-015,2024-01-20,UBER *TRIP,-18.50,debit,5275.14
TXN-016,2024-01-22,VENMO PAYMENT RECEIVED,75.00,credit,5350.14
TXN-017,2024-01-24,PLANET FITNESS,-24.99,debit,5325.15
TXN-018,2024-01-25,TARGET STORE #2281,-47.62,debit,5277.53
TXN-019,2024-01-28,PROGRESSIVE INSURANCE,-142.00,debit,5135.53
TXN-020,2024-01-30,INTEREST PAYMENT,3.12,credit,5138.65
